id,timestamp,station_id,station_name,available_bikes,standard_bikes,ebikes,empty_docks,total_docks,latitude,longitude
638881,2026-03-20 09:20:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638882,2026-03-20 09:20:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638883,2026-03-20 09:20:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
638884,2026-03-20 09:20:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",8,4,4,6,18,51.505014,-0.17306
638885,2026-03-20 09:20:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",0,0,0,12,15,51.494185,-0.18267
638886,2026-03-20 09:20:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638887,2026-03-20 09:20:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638888,2026-03-20 09:20:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638889,2026-03-20 09:20:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638890,2026-03-20 09:21:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",6,5,1,12,20,51.499917,-0.174554
638891,2026-03-20 09:21:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638892,2026-03-20 09:21:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638893,2026-03-20 09:21:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638894,2026-03-20 09:21:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638895,2026-03-20 09:21:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638896,2026-03-20 09:21:00+00,BikePoints_266,"Queen's Gate (North), Kensington",8,7,1,29,41,51.501026,-0.180246
638897,2026-03-20 09:21:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
638898,2026-03-20 09:21:00+00,BikePoints_378,"Natural History Museum, South Kensington",8,8,0,31,42,51.495592,-0.179077
638899,2026-03-20 09:21:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
638900,2026-03-20 09:21:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638901,2026-03-20 09:21:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",3,3,0,20,31,51.493967,-0.178732
638902,2026-03-20 09:21:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638903,2026-03-20 09:21:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638904,2026-03-20 09:21:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
638905,2026-03-20 09:21:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
638906,2026-03-20 09:21:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",0,0,0,12,15,51.494185,-0.18267
638907,2026-03-20 09:21:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638908,2026-03-20 09:21:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638909,2026-03-20 09:21:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638910,2026-03-20 09:21:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638911,2026-03-20 09:22:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",6,5,1,12,20,51.499917,-0.174554
638912,2026-03-20 09:22:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638913,2026-03-20 09:22:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638914,2026-03-20 09:22:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638915,2026-03-20 09:22:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638916,2026-03-20 09:22:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638917,2026-03-20 09:22:00+00,BikePoints_266,"Queen's Gate (North), Kensington",8,7,1,29,41,51.501026,-0.180246
638918,2026-03-20 09:22:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
638919,2026-03-20 09:22:00+00,BikePoints_378,"Natural History Museum, South Kensington",8,8,0,31,42,51.495592,-0.179077
638920,2026-03-20 09:22:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
638921,2026-03-20 09:22:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638922,2026-03-20 09:22:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",3,3,0,20,31,51.493967,-0.178732
638923,2026-03-20 09:22:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638924,2026-03-20 09:22:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638925,2026-03-20 09:22:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
638926,2026-03-20 09:22:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
638927,2026-03-20 09:22:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",0,0,0,12,15,51.494185,-0.18267
638928,2026-03-20 09:22:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638929,2026-03-20 09:22:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638930,2026-03-20 09:22:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638931,2026-03-20 09:22:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638932,2026-03-20 09:23:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",6,5,1,12,20,51.499917,-0.174554
638933,2026-03-20 09:23:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638934,2026-03-20 09:23:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638935,2026-03-20 09:23:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638936,2026-03-20 09:23:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638937,2026-03-20 09:23:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638938,2026-03-20 09:23:00+00,BikePoints_266,"Queen's Gate (North), Kensington",8,7,1,29,41,51.501026,-0.180246
638939,2026-03-20 09:23:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
638940,2026-03-20 09:23:00+00,BikePoints_378,"Natural History Museum, South Kensington",8,8,0,31,42,51.495592,-0.179077
638941,2026-03-20 09:23:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
638942,2026-03-20 09:23:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638943,2026-03-20 09:23:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",3,3,0,20,31,51.493967,-0.178732
638944,2026-03-20 09:23:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638945,2026-03-20 09:23:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638946,2026-03-20 09:23:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
638947,2026-03-20 09:23:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
638948,2026-03-20 09:23:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",1,1,0,11,15,51.494185,-0.18267
638949,2026-03-20 09:23:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638950,2026-03-20 09:23:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638951,2026-03-20 09:23:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638952,2026-03-20 09:23:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638953,2026-03-20 09:25:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",6,5,1,12,20,51.499917,-0.174554
638954,2026-03-20 09:25:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638955,2026-03-20 09:25:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638956,2026-03-20 09:25:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638957,2026-03-20 09:25:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638958,2026-03-20 09:25:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638959,2026-03-20 09:25:00+00,BikePoints_266,"Queen's Gate (North), Kensington",8,7,1,29,41,51.501026,-0.180246
638960,2026-03-20 09:25:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
638961,2026-03-20 09:25:00+00,BikePoints_378,"Natural History Museum, South Kensington",8,8,0,31,42,51.495592,-0.179077
638962,2026-03-20 09:25:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
638963,2026-03-20 09:25:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638964,2026-03-20 09:25:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",3,3,0,20,31,51.493967,-0.178732
638965,2026-03-20 09:25:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638966,2026-03-20 09:25:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638967,2026-03-20 09:25:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
638968,2026-03-20 09:25:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
638969,2026-03-20 09:25:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",1,1,0,11,15,51.494185,-0.18267
638970,2026-03-20 09:25:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638971,2026-03-20 09:25:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638972,2026-03-20 09:25:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638973,2026-03-20 09:25:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638974,2026-03-20 09:26:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",6,5,1,12,20,51.499917,-0.174554
638975,2026-03-20 09:26:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638976,2026-03-20 09:26:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638977,2026-03-20 09:26:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638978,2026-03-20 09:26:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638979,2026-03-20 09:26:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638980,2026-03-20 09:26:00+00,BikePoints_266,"Queen's Gate (North), Kensington",8,7,1,29,41,51.501026,-0.180246
638981,2026-03-20 09:26:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
638982,2026-03-20 09:26:00+00,BikePoints_378,"Natural History Museum, South Kensington",8,8,0,31,42,51.495592,-0.179077
638983,2026-03-20 09:26:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
638984,2026-03-20 09:26:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638985,2026-03-20 09:26:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",3,3,0,20,31,51.493967,-0.178732
638986,2026-03-20 09:26:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638987,2026-03-20 09:26:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638988,2026-03-20 09:26:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
638989,2026-03-20 09:26:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
638990,2026-03-20 09:26:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",1,1,0,11,15,51.494185,-0.18267
638991,2026-03-20 09:26:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638992,2026-03-20 09:26:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638993,2026-03-20 09:26:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638994,2026-03-20 09:26:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638995,2026-03-20 09:27:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",7,6,1,10,20,51.499917,-0.174554
638996,2026-03-20 09:27:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638997,2026-03-20 09:27:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",8,8,0,5,14,51.495947,-0.173689
638998,2026-03-20 09:27:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638999,2026-03-20 09:27:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
639000,2026-03-20 09:27:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
639001,2026-03-20 09:27:00+00,BikePoints_266,"Queen's Gate (North), Kensington",11,10,1,26,41,51.501026,-0.180246
639002,2026-03-20 09:27:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
639003,2026-03-20 09:27:00+00,BikePoints_378,"Natural History Museum, South Kensington",9,9,0,30,42,51.495592,-0.179077
639004,2026-03-20 09:27:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
639005,2026-03-20 09:27:00+00,BikePoints_356,"South Kensington Station, South Kensington",7,6,1,4,15,51.494412,-0.173881
639006,2026-03-20 09:27:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",4,4,0,19,31,51.493967,-0.178732
639007,2026-03-20 09:27:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
639008,2026-03-20 09:27:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
639009,2026-03-20 09:27:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
639010,2026-03-20 09:27:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
639011,2026-03-20 09:27:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",1,1,0,11,15,51.494185,-0.18267
639012,2026-03-20 09:27:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",2,2,0,19,25,51.492479,-0.178433
639013,2026-03-20 09:27:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
639014,2026-03-20 09:27:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
639015,2026-03-20 09:27:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
639016,2026-03-20 09:28:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",7,6,1,10,20,51.499917,-0.174554
639017,2026-03-20 09:28:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
639018,2026-03-20 09:28:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",8,8,0,5,14,51.495947,-0.173689
639019,2026-03-20 09:28:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
639020,2026-03-20 09:28:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
639021,2026-03-20 09:28:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
639022,2026-03-20 09:28:00+00,BikePoints_266,"Queen's Gate (North), Kensington",11,10,1,26,41,51.501026,-0.180246
639023,2026-03-20 09:28:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
639024,2026-03-20 09:28:00+00,BikePoints_378,"Natural History Museum, South Kensington",9,9,0,30,42,51.495592,-0.179077
639025,2026-03-20 09:28:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
639026,2026-03-20 09:28:00+00,BikePoints_356,"South Kensington Station, South Kensington",7,6,1,4,15,51.494412,-0.173881
639027,2026-03-20 09:28:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",4,4,0,19,31,51.493967,-0.178732
639028,2026-03-20 09:28:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
639029,2026-03-20 09:28:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
639030,2026-03-20 09:28:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
639031,2026-03-20 09:28:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
639032,2026-03-20 09:28:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",1,1,0,11,15,51.494185,-0.18267
639033,2026-03-20 09:28:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",2,2,0,19,25,51.492479,-0.178433
639034,2026-03-20 09:28:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
639035,2026-03-20 09:28:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
639036,2026-03-20 09:28:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
639037,2026-03-20 09:29:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",7,6,1,10,20,51.499917,-0.174554
639038,2026-03-20 09:29:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",10,6,4,2,13,51.496468,-0.173796
639039,2026-03-20 09:29:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",8,8,0,5,14,51.495947,-0.173689
639040,2026-03-20 09:29:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
639041,2026-03-20 09:29:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
639042,2026-03-20 09:29:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
639043,2026-03-20 09:29:00+00,BikePoints_266,"Queen's Gate (North), Kensington",12,11,1,25,41,51.501026,-0.180246
639044,2026-03-20 09:29:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
639045,2026-03-20 09:29:00+00,BikePoints_378,"Natural History Museum, South Kensington",10,10,0,29,42,51.495592,-0.179077
639046,2026-03-20 09:29:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
639047,2026-03-20 09:29:00+00,BikePoints_356,"South Kensington Station, South Kensington",7,6,1,4,15,51.494412,-0.173881
639048,2026-03-20 09:29:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",4,4,0,19,31,51.493967,-0.178732
639049,2026-03-20 09:29:00+00,BikePoints_97,"Gloucester Road (North), Kensington",6,6,0,9,18,51.497924,-0.183834
639050,2026-03-20 09:29:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
639051,2026-03-20 09:29:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",13,11,2,3,16,51.498884,-0.165471
639052,2026-03-20 09:29:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",9,5,4,5,18,51.505014,-0.17306
639053,2026-03-20 09:29:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",1,1,0,11,15,51.494185,-0.18267
639054,2026-03-20 09:29:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",2,2,0,19,25,51.492479,-0.178433
639055,2026-03-20 09:29:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
639056,2026-03-20 09:29:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
639057,2026-03-20 09:29:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
639058,2026-03-20 09:30:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",7,6,1,10,20,51.499917,-0.174554
639059,2026-03-20 09:30:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",10,6,4,2,13,51.496468,-0.173796
639060,2026-03-20 09:30:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",8,8,0,5,14,51.495947,-0.173689
639061,2026-03-20 09:30:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
