id,temperature_c,created_at
57223,13.17,2026-02-25 18:47:37.470659+00
57224,14.4,2026-02-25 18:49:27.47044+00
57225,14.17,2026-02-25 18:50:12.843408+00
57226,13.86,2026-02-25 18:51:10.554127+00
57227,14.85,2026-02-25 18:52:38.241948+00
57228,14.68,2026-02-25 18:53:11.729176+00
57229,13.58,2026-02-25 18:54:21.091649+00
57230,13.82,2026-02-25 18:55:48.708743+00
57231,13.45,2026-02-25 18:56:20.301243+00
57232,13.74,2026-02-25 18:57:06.790311+00
57233,14.73,2026-02-25 18:58:07.812877+00
57234,14.77,2026-02-25 18:59:35.132905+00
57235,13.91,2026-02-25 19:00:17.918278+00
57236,14.38,2026-02-25 19:01:44.147875+00
57237,13.98,2026-02-25 19:02:10.497652+00
57238,14.27,2026-02-25 19:04:22.809498+00
57239,14.7,2026-02-25 19:05:18.512444+00
57240,14.53,2026-02-25 19:06:03.630364+00
57241,13.93,2026-02-25 19:07:38.645522+00
57242,12.88,2026-02-25 19:08:14.846145+00
57243,14.56,2026-02-25 19:09:13.994819+00
57244,14,2026-02-25 19:10:11.654399+00
57245,14.17,2026-02-25 19:11:06.323159+00
57246,12.87,2026-02-25 19:12:26.020603+00
57247,13.84,2026-02-25 19:13:10.242916+00
57248,12.9,2026-02-25 19:14:11.535399+00
57249,13.81,2026-02-25 19:16:35.056994+00
57250,12.86,2026-02-25 19:17:48.769743+00
57251,13.14,2026-02-25 19:18:04.401686+00
57252,14.08,2026-02-25 19:19:07.657841+00
57253,12.76,2026-02-25 19:20:35.635329+00
57254,13.36,2026-02-25 19:21:19.66741+00
57255,13.51,2026-02-25 19:22:06.774621+00
57256,14.19,2026-02-25 19:23:26.771036+00
57257,13.12,2026-02-25 19:24:49.901404+00
57258,12.64,2026-02-25 19:25:15.84501+00
57259,13.41,2026-02-25 19:26:04.7347+00
57260,13.43,2026-02-25 19:27:02.550783+00
57261,14.16,2026-02-25 19:28:17.925452+00
57262,14.27,2026-02-25 19:31:25.005321+00
57263,13.76,2026-02-25 19:32:19.245787+00
57264,12.52,2026-02-25 19:33:15.47299+00
57265,13.46,2026-02-25 19:34:09.975229+00
57266,13.61,2026-02-25 19:35:33.20921+00
57267,12.67,2026-02-25 19:36:12.812759+00
57268,13.02,2026-02-25 19:37:17.784679+00
57269,12.56,2026-02-25 19:38:26.568598+00
57270,12.74,2026-02-25 19:39:36.223346+00
57271,13.87,2026-02-25 19:40:06.612167+00
57272,13.94,2026-02-25 19:41:29.03502+00
57273,14.02,2026-02-25 19:42:34.457284+00
57274,14.06,2026-02-25 19:44:12.424068+00
57275,13.8,2026-02-25 19:45:15.583532+00
57276,13.87,2026-02-25 19:46:17.586322+00
57277,13.02,2026-02-25 19:47:46.43298+00
57278,12.57,2026-02-25 19:48:12.275872+00
57279,13.61,2026-02-25 19:49:22.278737+00
57280,13.25,2026-02-25 19:50:48.2795+00
57281,13.39,2026-02-25 19:51:25.409945+00
57282,12.53,2026-02-25 19:52:22.187347+00
57283,12.71,2026-02-25 19:53:34.19+00
57284,13.58,2026-02-25 19:54:04.058268+00
57285,12.55,2026-02-25 19:55:17.099127+00
57286,13.23,2026-02-25 19:56:38.048061+00
57287,13.43,2026-02-25 19:58:00.545395+00
57288,14.06,2026-02-25 19:59:13.19916+00
57289,13.11,2026-02-25 20:00:29.711855+00
57290,13.38,2026-02-25 20:01:36.193004+00
57291,12.68,2026-02-25 20:02:44.063639+00
57292,12.1,2026-02-25 20:03:23.86676+00
57293,13.55,2026-02-25 20:04:29.705679+00
57294,12.58,2026-02-25 20:05:28.723915+00
57295,12.75,2026-02-25 20:06:49.042561+00
57296,12.15,2026-02-25 20:07:05.103059+00
57297,13.66,2026-02-25 20:08:45.614476+00
57298,12.55,2026-02-25 20:09:32.854032+00
57299,12.97,2026-02-25 20:10:44.748323+00
57300,11.96,2026-02-25 20:12:02.700435+00
57301,13.66,2026-02-25 20:13:45.119296+00
57302,13.66,2026-02-25 20:14:35.476651+00
57303,12.7,2026-02-25 20:15:16.073498+00
57304,12.29,2026-02-25 20:16:00.999121+00
57305,13.28,2026-02-25 20:17:06.679244+00
57306,13.59,2026-02-25 20:18:11.29062+00
57307,12.11,2026-02-25 20:19:20.526969+00
57308,13,2026-02-25 20:20:08.248724+00
57309,12.72,2026-02-25 20:21:41.423207+00
57310,12.45,2026-02-25 20:22:35.688613+00
57311,12.54,2026-02-25 20:23:09.730875+00
57312,12.9,2026-02-25 20:24:32.098062+00
57313,13.39,2026-02-25 20:25:46.677892+00
57314,12.38,2026-02-25 20:27:44.536384+00
57315,12.37,2026-02-25 20:28:38.281869+00
57316,12.68,2026-02-25 20:29:26.097511+00
57317,12.11,2026-02-25 20:30:11.788775+00
57318,12.21,2026-02-25 20:31:42.614548+00
57319,11.86,2026-02-25 20:32:30.374357+00
57320,13.09,2026-02-25 20:33:11.70638+00
57321,13.12,2026-02-25 20:34:26.192665+00
57322,11.6,2026-02-25 20:35:23.684502+00
57323,12.03,2026-02-25 20:36:38.518635+00
57324,12.93,2026-02-25 20:37:46.836401+00
57325,12.63,2026-02-25 20:38:42.571133+00
57326,13.3,2026-02-25 20:39:32.163065+00
57327,12.18,2026-02-25 20:40:42.677197+00
57328,12.47,2026-02-25 20:42:49.056313+00
57329,11.55,2026-02-25 20:43:26.704202+00
57330,12.8,2026-02-25 20:44:49.975409+00
57331,11.24,2026-02-25 20:45:22.261176+00
57332,12.3,2026-02-25 20:46:21.78549+00
57333,12.24,2026-02-25 20:47:10.543626+00
57334,12.55,2026-02-25 20:48:44.941404+00
57335,12.34,2026-02-25 20:49:05.756575+00
57336,13.16,2026-02-25 20:50:32.104373+00
57337,11.6,2026-02-25 20:51:41.612837+00
57338,12.27,2026-02-25 20:52:10.030951+00
57339,12.96,2026-02-25 20:53:03.079312+00
57340,11.46,2026-02-25 20:54:46.038541+00
57341,12.34,2026-02-25 20:56:15.703643+00
57342,13.13,2026-02-25 20:57:49.940613+00
57343,12.2,2026-02-25 20:58:43.623429+00
57344,12.8,2026-02-25 20:59:19.043606+00
57345,11.23,2026-02-25 21:00:14.449054+00
57346,12.11,2026-02-25 21:01:34.306081+00
57347,12.36,2026-02-25 21:02:08.758446+00
57348,12.29,2026-02-25 21:03:00.698314+00
57349,13.04,2026-02-25 21:04:49.06333+00
57350,12.45,2026-02-25 21:05:17.76027+00
57351,11.53,2026-02-25 21:06:32.397028+00
57352,12.35,2026-02-25 21:07:23.658194+00
57353,12.73,2026-02-25 21:08:12.907853+00
57354,11.3,2026-02-25 21:09:16.309663+00
57355,13.01,2026-02-25 21:11:06.544362+00
57356,11.61,2026-02-25 21:12:44.206082+00
57357,12.75,2026-02-25 21:13:31.59259+00
57358,12.35,2026-02-25 21:14:46.432243+00
57359,11.51,2026-02-25 21:15:05.484867+00
57360,12.55,2026-02-25 21:16:03.357547+00
57361,11.54,2026-02-25 21:17:27.306769+00
57362,11.55,2026-02-25 21:18:08.144992+00
57363,11.84,2026-02-25 21:19:22.623998+00
57364,12.94,2026-02-25 21:20:41.093011+00
57365,11.34,2026-02-25 21:21:43.545843+00
57366,11.21,2026-02-25 21:22:19.827498+00
57367,12.94,2026-02-25 21:23:10.979858+00
57368,11.74,2026-02-25 21:24:15.28052+00
57369,11.5,2026-02-25 21:26:00.729579+00
57370,11.48,2026-02-25 21:27:33.597552+00
57371,12.53,2026-02-25 21:28:12.436376+00
57372,11.47,2026-02-25 21:29:37.781368+00
57373,11.21,2026-02-25 21:30:20.495809+00
57374,11.85,2026-02-25 21:31:12.471249+00
57375,11.86,2026-02-25 21:32:09.168492+00
57376,12.05,2026-02-25 21:33:07.973824+00
57377,12.35,2026-02-25 21:34:20.69616+00
57378,11.19,2026-02-25 21:35:20.035191+00
57379,12.8,2026-02-25 21:36:48.283036+00
57380,11.08,2026-02-25 21:37:33.059369+00
57381,11.22,2026-02-25 21:38:35.716294+00
57382,12.39,2026-02-25 21:40:26.324467+00
57383,12.46,2026-02-25 21:41:47.402258+00
57384,11.23,2026-02-25 21:42:30.551429+00
57385,12.29,2026-02-25 21:43:16.366513+00
57386,11.45,2026-02-25 21:44:46.415191+00
57387,11.04,2026-02-25 21:45:21.725631+00
57388,12.76,2026-02-25 21:46:08.48718+00
57389,11.74,2026-02-25 21:47:01.976534+00
57390,12.02,2026-02-25 21:48:20.264375+00
57391,11.91,2026-02-25 21:49:09.46514+00
57392,12.08,2026-02-25 21:50:31.39717+00
57393,12.4,2026-02-25 21:51:03.975314+00
57394,11.85,2026-02-25 21:52:23.240613+00
57395,12.29,2026-02-25 21:53:17.167488+00
57396,11.84,2026-02-25 21:55:43.617277+00
57397,10.94,2026-02-25 21:56:47.907314+00
57398,11.3,2026-02-25 21:57:37.048402+00
57399,11.29,2026-02-25 21:58:17.679717+00
57400,11.9,2026-02-25 21:59:16.308892+00
57401,11.73,2026-02-25 22:00:46.785378+00
57402,11.49,2026-02-25 22:01:02.560294+00
57403,11.74,2026-02-25 22:02:39.790231+00
57404,11.54,2026-02-25 22:03:24.920766+00
57405,11.86,2026-02-25 22:04:35.469861+00
57406,11.05,2026-02-25 22:05:44.789779+00
57407,12.56,2026-02-25 22:06:24.635909+00
57408,11.38,2026-02-25 22:07:22.271887+00
57409,12.69,2026-02-25 22:08:22.688264+00
57410,11.77,2026-02-25 22:10:11.837799+00
57411,11.23,2026-02-25 22:11:33.588638+00
57412,11.16,2026-02-25 22:12:38.574891+00
57413,10.84,2026-02-25 22:13:43.953425+00
57414,11.34,2026-02-25 22:14:03.663988+00
57415,11,2026-02-25 22:15:14.186388+00
57416,11.84,2026-02-25 22:16:21.452462+00
57417,11.84,2026-02-25 22:17:12.187881+00
57418,12.24,2026-02-25 22:18:16.038053+00
57419,12.07,2026-02-25 22:19:42.780765+00
57420,12.04,2026-02-25 22:20:42.424388+00
57421,12.58,2026-02-25 22:21:28.284116+00
57422,11.6,2026-02-25 22:22:16.684506+00
57423,11.1,2026-02-25 22:23:12.275529+00
57424,12.56,2026-02-25 22:25:10.092568+00
57425,11.05,2026-02-25 22:26:29.560274+00
57426,12.5,2026-02-25 22:27:01.304113+00
57427,12.23,2026-02-25 22:28:30.606025+00
57428,10.94,2026-02-25 22:29:34.976805+00
57429,12.32,2026-02-25 22:30:49.939549+00
57430,10.61,2026-02-25 22:31:33.342256+00
57431,11.63,2026-02-25 22:32:14.510869+00
57432,12.26,2026-02-25 22:33:32.78836+00
57433,12.21,2026-02-25 22:34:41.883923+00
57434,11.08,2026-02-25 22:35:38.44371+00
57435,11.13,2026-02-25 22:36:21.808073+00
57436,11.74,2026-02-25 22:37:33.389889+00
57437,10.75,2026-02-25 22:39:17.539618+00
57438,11.46,2026-02-25 22:40:27.165959+00
57439,11.95,2026-02-25 22:41:00.059773+00
57440,12.47,2026-02-25 22:42:38.748867+00
57441,11.75,2026-02-25 22:43:47.196462+00
57442,12.52,2026-02-25 22:44:00.005243+00
57443,10.87,2026-02-25 22:45:05.531445+00
57444,11.9,2026-02-25 22:46:47.34936+00
57445,10.5,2026-02-25 22:47:11.415228+00
57446,12.28,2026-02-25 22:48:34.025317+00
57447,11.15,2026-02-25 22:49:36.043038+00
57448,11.81,2026-02-25 22:50:35.323504+00
57449,11.24,2026-02-25 22:51:13.028274+00
57450,12.08,2026-02-25 22:53:42.849716+00
57451,11.79,2026-02-25 22:54:38.646213+00
57452,11.56,2026-02-25 22:55:12.055714+00
57453,11.56,2026-02-25 22:56:39.282422+00
57454,11.09,2026-02-25 22:57:09.248202+00
57455,10.85,2026-02-25 22:58:14.645333+00
57456,10.61,2026-02-25 22:59:12.234554+00
57457,11.59,2026-02-25 23:00:22.681452+00
57458,11.68,2026-02-25 23:01:19.576069+00
57459,10.67,2026-02-25 23:02:45.959551+00
57460,11.61,2026-02-25 23:03:21.322453+00
57461,12.13,2026-02-25 23:04:15.588312+00
57462,11.85,2026-02-25 23:05:43.428335+00
57463,11.08,2026-02-25 23:06:44.377328+00
57464,10.49,2026-02-25 23:08:05.704214+00
57465,10.95,2026-02-25 23:09:02.934574+00
57466,11.12,2026-02-25 23:10:24.0671+00
57467,10.65,2026-02-25 23:11:31.412587+00
57468,11.22,2026-02-25 23:12:14.967643+00
57469,10.62,2026-02-25 23:13:18.205647+00
57470,11.02,2026-02-25 23:14:48.146264+00
57471,11.88,2026-02-25 23:15:22.661585+00
57472,11.42,2026-02-25 23:16:47.032827+00
57473,10.73,2026-02-25 23:17:41.972981+00
57474,10.46,2026-02-25 23:18:16.231422+00
57475,11.03,2026-02-25 23:19:29.992898+00
57476,10.85,2026-02-25 23:20:46.731517+00
57477,11.51,2026-02-25 23:22:22.231147+00
57478,12.31,2026-02-25 23:23:40.351689+00
57479,10.6,2026-02-25 23:24:16.019731+00
57480,12.32,2026-02-25 23:25:01.837735+00
57481,10.91,2026-02-25 23:26:32.934812+00
57482,10.62,2026-02-25 23:27:12.101568+00
57483,11.87,2026-02-25 23:28:42.753983+00
57484,11.08,2026-02-25 23:29:11.593063+00
57485,11.94,2026-02-25 23:30:45.639741+00
57486,10.77,2026-02-25 23:31:47.07401+00
57487,11.65,2026-02-25 23:32:38.058617+00
57488,11.54,2026-02-25 23:33:35.579968+00
57489,10.78,2026-02-25 23:34:24.13877+00
57490,12.24,2026-02-25 23:35:32.798205+00
57491,12.19,2026-02-25 23:36:47.276651+00
57492,11.57,2026-02-25 23:38:40.124426+00
57493,12.2,2026-02-25 23:39:31.466689+00
57494,11.28,2026-02-25 23:40:12.247021+00
57495,10.94,2026-02-25 23:41:37.160558+00
57496,11.57,2026-02-25 23:42:25.868584+00
57497,10.81,2026-02-25 23:43:27.190296+00
57498,11.39,2026-02-25 23:44:20.631634+00
57499,10.86,2026-02-25 23:45:05.203523+00
57500,11.97,2026-02-25 23:46:33.764248+00
57501,11.36,2026-02-25 23:47:41.280868+00
57502,12.02,2026-02-25 23:48:38.544946+00
57503,11.77,2026-02-25 23:49:01.998441+00
57504,12.05,2026-02-25 23:50:08.151984+00
57505,11.07,2026-02-25 23:51:30.089163+00
57506,11.07,2026-02-25 23:53:41.112658+00
57507,10.54,2026-02-25 23:54:07.018381+00
57508,11.51,2026-02-25 23:55:12.977244+00
57509,10.66,2026-02-25 23:56:46.745475+00
57510,10.73,2026-02-25 23:57:39.038696+00
57511,10.87,2026-02-25 23:58:05.464765+00
57512,11.3,2026-02-25 23:59:15.744026+00
57513,11.3,2026-02-26 00:00:41.070554+00
57514,11.43,2026-02-26 00:01:23.174325+00
57515,11.14,2026-02-26 00:02:11.279386+00
57516,11.23,2026-02-26 00:03:16.685618+00
57517,11.51,2026-02-26 00:04:10.062212+00
57518,11.19,2026-02-26 00:05:24.170181+00
57519,10.58,2026-02-26 00:07:35.085439+00
57520,11.17,2026-02-26 00:08:23.674652+00
57521,11.31,2026-02-26 00:09:05.156042+00
57522,11.28,2026-02-26 00:10:49.330386+00
57523,11.15,2026-02-26 00:11:11.254353+00
57524,12.02,2026-02-26 00:12:45.200071+00
57525,10.28,2026-02-26 00:13:00.895985+00
57526,10.53,2026-02-26 00:14:12.673447+00
57527,10.22,2026-02-26 00:15:29.110159+00
57528,11.52,2026-02-26 00:16:26.408417+00
57529,10.58,2026-02-26 00:17:32.690458+00
57530,11.06,2026-02-26 00:18:44.955685+00
57531,10.48,2026-02-26 00:19:48.273458+00
57532,10.23,2026-02-26 00:20:15.833148+00
57533,11.08,2026-02-26 00:21:45.177758+00
57534,11.4,2026-02-26 00:23:20.682007+00
57535,11.88,2026-02-26 00:24:28.031786+00
57536,10.45,2026-02-26 00:25:07.780796+00
57537,10.73,2026-02-26 00:26:38.675836+00
57538,10.92,2026-02-26 00:27:12.579046+00
57539,11.69,2026-02-26 00:28:35.329315+00
57540,11.1,2026-02-26 00:29:01.824779+00
57541,10.2,2026-02-26 00:30:13.495631+00
57542,10.95,2026-02-26 00:31:38.936888+00
57543,10.07,2026-02-26 00:32:00.562872+00
57544,10.91,2026-02-26 00:33:39.96966+00
57545,10.04,2026-02-26 00:34:09.303758+00
57546,11,2026-02-26 00:35:17.59213+00
57547,10.91,2026-02-26 00:36:36.464019+00
57548,10.63,2026-02-26 00:37:18.348633+00
57549,10.94,2026-02-26 00:39:34.373029+00
57550,11.02,2026-02-26 00:40:07.343462+00
57551,10.71,2026-02-26 00:41:31.000774+00
57552,11.21,2026-02-26 00:42:04.357133+00
57553,11.43,2026-02-26 00:43:10.200936+00
57554,10.2,2026-02-26 00:44:02.245703+00
57555,11.46,2026-02-26 00:45:02.58297+00
57556,11.06,2026-02-26 00:46:02.520731+00
57557,10.91,2026-02-26 00:47:34.190566+00
57558,10.87,2026-02-26 00:48:06.277159+00
57559,10.39,2026-02-26 00:49:20.06504+00
57560,11.76,2026-02-26 00:50:12.631773+00
57561,10.11,2026-02-26 00:51:27.243839+00
57562,10.33,2026-02-26 00:52:12.961989+00
57563,11.15,2026-02-26 00:54:26.326237+00
57564,11.73,2026-02-26 00:55:20.869254+00
57565,9.9,2026-02-26 00:56:00.777348+00
57566,10.24,2026-02-26 00:58:36.043459+00
57567,11.06,2026-02-26 00:59:03.874246+00
57568,10.57,2026-02-26 01:00:29.24139+00
57569,11.38,2026-02-26 01:01:45.020749+00
57570,11.35,2026-02-26 01:02:01.614808+00
57571,11.67,2026-02-26 01:03:08.637982+00
57572,10.38,2026-02-26 01:04:49.850649+00
57573,11.68,2026-02-26 01:06:28.748968+00
57574,11.66,2026-02-26 01:07:34.812371+00
57575,11.52,2026-02-26 01:08:38.237409+00
57576,10.41,2026-02-26 01:09:15.62348+00
57577,11.37,2026-02-26 01:10:32.588516+00
57578,10.34,2026-02-26 01:11:25.933665+00
57579,11.83,2026-02-26 01:12:47.37923+00
57580,11.84,2026-02-26 01:13:30.824479+00
57581,11.54,2026-02-26 01:14:29.297924+00
57582,10.97,2026-02-26 01:15:21.897359+00
57583,11.33,2026-02-26 01:16:18.145639+00
57584,11.07,2026-02-26 01:17:12.745605+00
57585,10.52,2026-02-26 01:18:24.384233+00
57586,11.71,2026-02-26 01:20:17.478934+00
57587,10.85,2026-02-26 01:21:02.507687+00
57588,11.44,2026-02-26 01:22:10.444292+00
57589,10.19,2026-02-26 01:23:07.778688+00
57590,10.35,2026-02-26 01:24:04.973008+00
57591,10.45,2026-02-26 01:25:45.060046+00
57592,11.85,2026-02-26 01:26:03.798177+00
57593,11.53,2026-02-26 01:27:41.167987+00
57594,10.83,2026-02-26 01:28:10.938935+00
57595,10.38,2026-02-26 01:29:38.349788+00
57596,11.29,2026-02-26 01:30:35.881437+00
57597,10.95,2026-02-26 01:31:21.259984+00
57598,11.14,2026-02-26 01:32:26.790436+00
57599,11.09,2026-02-26 01:34:23.996272+00
57600,11.35,2026-02-26 01:35:07.349378+00
57601,10.8,2026-02-26 01:36:24.110844+00
57602,10.39,2026-02-26 01:37:02.206865+00
57603,10.53,2026-02-26 01:38:03.14703+00
57604,9.9,2026-02-26 01:39:41.523513+00
57605,10.06,2026-02-26 01:40:01.517036+00
57606,10.09,2026-02-26 01:41:38.046441+00
57607,10.71,2026-02-26 01:42:29.382835+00
57608,11.34,2026-02-26 01:43:27.57047+00
57609,10.01,2026-02-26 01:44:35.229362+00
57610,10.87,2026-02-26 01:45:05.515183+00
57611,10.48,2026-02-26 01:46:06.222376+00
57612,10.4,2026-02-26 01:47:19.856452+00
57613,10.23,2026-02-26 01:49:48.300847+00
57614,9.8,2026-02-26 01:50:24.778656+00
57615,11.23,2026-02-26 01:51:29.116188+00
57616,11.7,2026-02-26 01:52:28.099423+00
57617,10.04,2026-02-26 01:53:22.964425+00
57618,11.26,2026-02-26 01:54:20.957626+00
57619,11.72,2026-02-26 01:55:29.658074+00
57620,10.59,2026-02-26 01:56:13.782262+00
57621,11.7,2026-02-26 01:57:42.48012+00
57622,10.67,2026-02-26 01:58:27.723213+00
57623,11.44,2026-02-26 01:59:48.2791+00
57624,11.11,2026-02-26 02:00:46.112907+00
57625,10.43,2026-02-26 02:01:13.455105+00
57626,10.33,2026-02-26 02:03:32.107789+00
57627,10.99,2026-02-26 02:04:24.732493+00
57628,11.3,2026-02-26 02:05:08.690204+00
57629,10.13,2026-02-26 02:06:20.644194+00
57630,10.93,2026-02-26 02:07:37.535838+00
57631,10.02,2026-02-26 02:08:08.602873+00
57632,10.62,2026-02-26 02:09:01.240622+00
57633,11.27,2026-02-26 02:10:13.912039+00
57634,10.73,2026-02-26 02:11:00.058793+00
57635,11.21,2026-02-26 02:12:48.343998+00
57636,10.74,2026-02-26 02:13:45.456659+00
57637,11.46,2026-02-26 02:14:10.511041+00
57638,11.08,2026-02-26 02:15:30.846728+00
57639,11.21,2026-02-26 02:16:11.093126+00
57640,10.9,2026-02-26 02:18:28.065317+00
57641,9.64,2026-02-26 02:19:14.369162+00
57642,11.46,2026-02-26 02:20:13.257337+00
57643,10.69,2026-02-26 02:21:14.073559+00
57644,10.1,2026-02-26 02:22:45.686174+00
57645,10.85,2026-02-26 02:23:14.12332+00
57646,10.07,2026-02-26 02:24:44.983686+00
57647,10.7,2026-02-26 02:25:46.270463+00
57648,11.29,2026-02-26 02:26:14.300668+00
57649,10.02,2026-02-26 02:27:29.628529+00
57650,10.83,2026-02-26 02:28:03.488933+00
57651,10.72,2026-02-26 02:29:11.163958+00
57652,11.36,2026-02-26 02:30:23.898591+00
57653,10.07,2026-02-26 02:31:23.780805+00
57654,10.98,2026-02-26 02:33:35.709422+00
57655,9.88,2026-02-26 02:34:27.422044+00
57656,10.46,2026-02-26 02:35:47.449475+00
57657,11.02,2026-02-26 02:36:24.697006+00
57658,10.01,2026-02-26 02:37:01.422006+00
57659,10.96,2026-02-26 02:38:18.158221+00
57660,11.55,2026-02-26 02:39:48.832042+00
57661,11.53,2026-02-26 02:40:35.611789+00
57662,11.57,2026-02-26 02:41:45.229457+00
57663,11.05,2026-02-26 02:42:47.727666+00
57664,9.68,2026-02-26 02:43:18.313402+00
57665,10.85,2026-02-26 02:44:30.936187+00
57666,10.55,2026-02-26 02:45:30.18698+00
57667,11.06,2026-02-26 02:46:05.035121+00
57668,11.21,2026-02-26 02:48:35.099837+00
57669,9.61,2026-02-26 02:49:38.730174+00
57670,10.62,2026-02-26 02:50:03.384923+00
57671,10.22,2026-02-26 02:51:19.481349+00
57672,11.48,2026-02-26 02:52:49.769592+00
57673,11.04,2026-02-26 02:53:19.840555+00
57674,10.76,2026-02-26 02:54:48.602517+00
57675,10.87,2026-02-26 02:55:24.045601+00
57676,11.15,2026-02-26 02:56:10.704413+00
57677,9.88,2026-02-26 02:57:31.185536+00
57678,9.83,2026-02-26 02:58:41.312935+00
57679,9.69,2026-02-26 02:59:05.196212+00
57680,10.99,2026-02-26 03:00:39.559992+00
57681,10.62,2026-02-26 03:01:08.588054+00
57682,10.41,2026-02-26 03:03:03.448801+00
57683,11.11,2026-02-26 03:04:39.987424+00
57684,9.92,2026-02-26 03:05:43.215604+00
57685,10.51,2026-02-26 03:06:18.554073+00
57686,11.51,2026-02-26 03:07:01.131862+00
57687,11.21,2026-02-26 03:08:11.067104+00
57688,9.79,2026-02-26 03:09:44.34923+00
57689,9.91,2026-02-26 03:10:38.012404+00
57690,10.22,2026-02-26 03:11:37.82285+00
57691,11.34,2026-02-26 03:12:07.412143+00
57692,11.3,2026-02-26 03:13:00.445886+00
57693,9.84,2026-02-26 03:14:13.586814+00
57694,10.06,2026-02-26 03:15:13.516678+00
57695,10.71,2026-02-26 03:16:37.932606+00
57696,10.47,2026-02-26 03:17:06.412736+00
57697,11.57,2026-02-26 03:19:45.534873+00
